timestamp,dow,hour,is_weekend,traffic
2025-03-01 08:00:00,5,8,1,61.0
2025-03-01 09:00:00,5,9,1,50.0
2025-03-01 10:00:00,5,10,1,65.0
2025-03-01 11:00:00,5,11,1,66.0
2025-03-01 12:00:00,5,12,1,61.0
2025-03-01 13:00:00,5,13,1,66.0
2025-03-01 14:00:00,5,14,1,77.0
2025-03-01 15:00:00,5,15,1,56.0
2025-03-01 16:00:00,5,16,1,70.0
2025-03-01 17:00:00,5,17,1,64.0
2025-03-01 18:00:00,5,18,1,78.0
2025-03-01 19:00:00,5,19,1,65.0
2025-03-01 20:00:00,5,20,1,59.0
2025-03-02 08:00:00,6,8,1,68.0
2025-03-02 09:00:00,6,9,1,63.0
2025-03-02 10:00:00,6,10,1,52.0
2025-03-02 11:00:00,6,11,1,62.0
2025-03-02 12:00:00,6,12,1,69.0
2025-03-02 13:00:00,6,13,1,83.0
2025-03-02 14:00:00,6,14,1,76.0
2025-03-02 15:00:00,6,15,1,57.0
2025-03-02 16:00:00,6,16,1,65.0
2025-03-02 17:00:00,6,17,1,80.0
2025-03-02 18:00:00,6,18,1,69.0
2025-03-02 19:00:00,6,19,1,55.0
2025-03-02 20:00:00,6,20,1,56.0
2025-03-03 08:00:00,0,8,0,46.0
2025-03-03 09:00:00,0,9,0,45.0
2025-03-03 10:00:00,0,10,0,45.0
2025-03-03 11:00:00,0,11,0,45.0
2025-03-03 12:00:00,0,12,0,72.0
2025-03-03 13:00:00,0,13,0,51.0
2025-03-03 14:00:00,0,14,0,51.0
2025-03-03 15:00:00,0,15,0,35.0
2025-03-03 16:00:00,0,16,0,55.0
2025-03-03 17:00:00,0,17,0,59.0
2025-03-03 18:00:00,0,18,0,49.0
2025-03-03 19:00:00,0,19,0,35.0
2025-03-03 20:00:00,0,20,0,35.0
2025-03-04 08:00:00,1,8,0,47.0
2025-03-04 09:00:00,1,9,0,48.0
2025-03-04 10:00:00,1,10,0,46.0
2025-03-04 11:00:00,1,11,0,37.0
2025-03-04 12:00:00,1,12,0,56.0
2025-03-04 13:00:00,1,13,0,56.0
2025-03-04 14:00:00,1,14,0,56.0
2025-03-04 15:00:00,1,15,0,49.0
2025-03-04 16:00:00,1,16,0,52.0
2025-03-04 17:00:00,1,17,0,56.0
2025-03-04 18:00:00,1,18,0,51.0
2025-03-04 19:00:00,1,19,0,44.0
2025-03-04 20:00:00,1,20,0,47.0
2025-03-05 08:00:00,2,8,0,30.0
2025-03-05 09:00:00,2,9,0,39.0
2025-03-05 10:00:00,2,10,0,38.0
2025-03-05 11:00:00,2,11,0,37.0
2025-03-05 12:00:00,2,12,0,52.0
2025-03-05 13:00:00,2,13,0,67.0
2025-03-05 14:00:00,2,14,0,48.0
2025-03-05 15:00:00,2,15,0,50.0
2025-03-05 16:00:00,2,16,0,37.0
2025-03-05 17:00:00,2,17,0,48.0
2025-03-05 18:00:00,2,18,0,52.0
2025-03-05 19:00:00,2,19,0,47.0
2025-03-05 20:00:00,2,20,0,48.0
2025-03-06 08:00:00,3,8,0,48.0
2025-03-06 09:00:00,3,9,0,39.0
2025-03-06 10:00:00,3,10,0,38.0
2025-03-06 11:00:00,3,11,0,49.0
2025-03-06 12:00:00,3,12,0,53.0
2025-03-06 13:00:00,3,13,0,44.0
2025-03-06 14:00:00,3,14,0,46.0
2025-03-06 15:00:00,3,15,0,35.0
2025-03-06 16:00:00,3,16,0,54.0
2025-03-06 17:00:00,3,17,0,52.0
2025-03-06 18:00:00,3,18,0,56.0
2025-03-06 19:00:00,3,19,0,39.0
2025-03-06 20:00:00,3,20,0,43.0
2025-03-07 08:00:00,4,8,0,47.0
2025-03-07 09:00:00,4,9,0,40.0
2025-03-07 10:00:00,4,10,0,46.0
2025-03-07 11:00:00,4,11,0,37.0
2025-03-07 12:00:00,4,12,0,52.0
2025-03-07 13:00:00,4,13,0,52.0
2025-03-07 14:00:00,4,14,0,45.0
2025-03-07 15:00:00,4,15,0,46.0
2025-03-07 16:00:00,4,16,0,47.0
2025-03-07 17:00:00,4,17,0,50.0
2025-03-07 18:00:00,4,18,0,54.0
2025-03-07 19:00:00,4,19,0,46.0
2025-03-07 20:00:00,4,20,0,47.0
2025-03-08 08:00:00,5,8,1,58.0
2025-03-08 09:00:00,5,9,1,55.0
2025-03-08 10:00:00,5,10,1,58.0
2025-03-08 11:00:00,5,11,1,45.0
2025-03-08 12:00:00,5,12,1,65.0
2025-03-08 13:00:00,5,13,1,66.0
2025-03-08 14:00:00,5,14,1,68.0
2025-03-08 15:00:00,5,15,1,62.0
2025-03-08 16:00:00,5,16,1,63.0
2025-03-08 17:00:00,5,17,1,68.0
2025-03-08 18:00:00,5,18,1,81.0
2025-03-08 19:00:00,5,19,1,56.0
2025-03-08 20:00:00,5,20,1,65.0
2025-03-09 08:00:00,6,8,1,51.0
2025-03-09 09:00:00,6,9,1,57.0
2025-03-09 10:00:00,6,10,1,51.0
2025-03-09 11:00:00,6,11,1,56.0
2025-03-09 12:00:00,6,12,1,83.0
2025-03-09 13:00:00,6,13,1,63.0
2025-03-09 14:00:00,6,14,1,80.0
2025-03-09 15:00:00,6,15,1,61.0
2025-03-09 16:00:00,6,16,1,66.0
2025-03-09 17:00:00,6,17,1,59.0
2025-03-09 18:00:00,6,18,1,71.0
2025-03-09 19:00:00,6,19,1,55.0
2025-03-09 20:00:00,6,20,1,61.0
2025-03-10 08:00:00,0,8,0,42.0
2025-03-10 09:00:00,0,9,0,55.0
2025-03-10 10:00:00,0,10,0,40.0
2025-03-10 11:00:00,0,11,0,34.0
2025-03-10 12:00:00,0,12,0,56.0
2025-03-10 13:00:00,0,13,0,56.0
2025-03-10 14:00:00,0,14,0,65.0
2025-03-10 15:00:00,0,15,0,49.0
2025-03-10 16:00:00,0,16,0,53.0
2025-03-10 17:00:00,0,17,0,62.0
2025-03-10 18:00:00,0,18,0,41.0
2025-03-10 19:00:00,0,19,0,37.0
2025-03-10 20:00:00,0,20,0,35.0
2025-03-11 08:00:00,1,8,0,39.0
2025-03-11 09:00:00,1,9,0,31.0
2025-03-11 10:00:00,1,10,0,47.0
2025-03-11 11:00:00,1,11,0,40.0
2025-03-11 12:00:00,1,12,0,43.0
2025-03-11 13:00:00,1,13,0,46.0
2025-03-11 14:00:00,1,14,0,57.0
2025-03-11 15:00:00,1,15,0,49.0
2025-03-11 16:00:00,1,16,0,66.0
2025-03-11 17:00:00,1,17,0,74.0
2025-03-11 18:00:00,1,18,0,54.0
2025-03-11 19:00:00,1,19,0,34.0
2025-03-11 20:00:00,1,20,0,25.0
2025-03-12 08:00:00,2,8,0,44.0
2025-03-12 09:00:00,2,9,0,35.0
2025-03-12 10:00:00,2,10,0,39.0
2025-03-12 11:00:00,2,11,0,37.0
2025-03-12 12:00:00,2,12,0,53.0
2025-03-12 13:00:00,2,13,0,63.0
2025-03-12 14:00:00,2,14,0,56.0
2025-03-12 15:00:00,2,15,0,41.0
2025-03-12 16:00:00,2,16,0,42.0
2025-03-12 17:00:00,2,17,0,37.0
2025-03-12 18:00:00,2,18,0,47.0
2025-03-12 19:00:00,2,19,0,42.0
2025-03-12 20:00:00,2,20,0,56.0
2025-03-13 08:00:00,3,8,0,43.0
2025-03-13 09:00:00,3,9,0,50.0
2025-03-13 10:00:00,3,10,0,38.0
2025-03-13 11:00:00,3,11,0,33.0
2025-03-13 12:00:00,3,12,0,47.0
2025-03-13 13:00:00,3,13,0,49.0
2025-03-13 14:00:00,3,14,0,72.0
2025-03-13 15:00:00,3,15,0,35.0
2025-03-13 16:00:00,3,16,0,57.0
2025-03-13 17:00:00,3,17,0,43.0
2025-03-13 18:00:00,3,18,0,58.0
2025-03-13 19:00:00,3,19,0,45.0
2025-03-13 20:00:00,3,20,0,41.0
2025-03-14 08:00:00,4,8,0,42.0
2025-03-14 09:00:00,4,9,0,37.0
2025-03-14 10:00:00,4,10,0,46.0
2025-03-14 11:00:00,4,11,0,38.0
2025-03-14 12:00:00,4,12,0,45.0
2025-03-14 13:00:00,4,13,0,44.0
2025-03-14 14:00:00,4,14,0,56.0
2025-03-14 15:00:00,4,15,0,55.0
2025-03-14 16:00:00,4,16,0,52.0
2025-03-14 17:00:00,4,17,0,49.0
2025-03-14 18:00:00,4,18,0,53.0
2025-03-14 19:00:00,4,19,0,52.0
2025-03-14 20:00:00,4,20,0,44.0
2025-03-15 08:00:00,5,8,1,56.0
2025-03-15 09:00:00,5,9,1,68.0
2025-03-15 10:00:00,5,10,1,62.0
2025-03-15 11:00:00,5,11,1,71.0
2025-03-15 12:00:00,5,12,1,78.0
2025-03-15 13:00:00,5,13,1,67.0
2025-03-15 14:00:00,5,14,1,65.0
2025-03-15 15:00:00,5,15,1,72.0
2025-03-15 16:00:00,5,16,1,84.0
2025-03-15 17:00:00,5,17,1,69.0
2025-03-15 18:00:00,5,18,1,67.0
2025-03-15 19:00:00,5,19,1,70.0
2025-03-15 20:00:00,5,20,1,50.0
2025-03-16 08:00:00,6,8,1,52.0
2025-03-16 09:00:00,6,9,1,64.0
2025-03-16 10:00:00,6,10,1,56.0
2025-03-16 11:00:00,6,11,1,59.0
2025-03-16 12:00:00,6,12,1,75.0
2025-03-16 13:00:00,6,13,1,79.0
2025-03-16 14:00:00,6,14,1,88.0
2025-03-16 15:00:00,6,15,1,60.0
2025-03-16 16:00:00,6,16,1,76.0
2025-03-16 17:00:00,6,17,1,54.0
2025-03-16 18:00:00,6,18,1,70.0
2025-03-16 19:00:00,6,19,1,52.0
2025-03-16 20:00:00,6,20,1,49.0
2025-03-17 08:00:00,0,8,0,35.0
2025-03-17 09:00:00,0,9,0,39.0
2025-03-17 10:00:00,0,10,0,49.0
2025-03-17 11:00:00,0,11,0,31.0
2025-03-17 12:00:00,0,12,0,55.0
2025-03-17 13:00:00,0,13,0,51.0
2025-03-17 14:00:00,0,14,0,52.0
2025-03-17 15:00:00,0,15,0,50.0
